,accuracy,availability,cadence,mass,power,cost,complexity
star_tracker,0.9958333333333333,0.8729748362633575,0.873090437842429,0.85,0.7,0.25,0.44999999999999996
sun_plus_mag,0.663544212226769,0.2318166149603585,0.5794459046016437,0.9166666666666666,0.86,1.0,0.6
